PreciseTimeStamp,e2EDurationInMilliseconds
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,140
00:00.0,125
00:00.0,171
00:00.0,109
00:00.0,109
00:00.0,124
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,125
00:00.0,140
00:00.0,124
00:00.0,124
00:00.0,140
00:00.0,171
00:00.0,140
00:00.0,156
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,125
00:00.0,140
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,124
00:00.0,140
00:00.0,171
45:00.0,156
45:00.0,124
45:00.0,234
45:00.0,140
45:00.0,140
45:00.0,124
45:00.0,109
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,125
45:00.0,109
45:00.0,124
45:00.0,125
45:00.0,109
45:00.0,0
45:00.0,124
45:00.0,5656
45:00.0,7296
45:00.0,17734
45:00.0,156
45:00.0,250
45:00.0,328
45:00.0,203
45:00.0,125
45:00.0,124
45:00.0,109
45:00.0,140
45:00.0,140
45:00.0,140
45:00.0,140
45:00.0,125
45:00.0,124
45:00.0,234
45:00.0,171
45:00.0,125
45:00.0,171
45:00.0,125
45:00.0,124
45:00.0,125
45:00.0,124
45:00.0,109
45:00.0,109
45:00.0,124
45:00.0,109
45:00.0,124
45:00.0,140
45:00.0,124
45:00.0,22265
45:00.0,42047
45:00.0,54234
45:00.0,63047
45:00.0,68781
45:00.0,76578
45:00.0,234
45:00.0,140
45:00.0,187
45:00.0,109
45:00.0,109
45:00.0,124
45:00.0,124
45:00.0,124
45:00.0,218
45:00.0,140
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,125
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,140
45:00.0,140
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,203
45:00.0,140
45:00.0,140
45:00.0,140
45:00.0,140
45:00.0,625
45:00.0,718
45:00.0,140
45:00.0,156
45:00.0,109
45:00.0,140
45:00.0,125
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,124
45:00.0,140
45:00.0,453
45:00.0,406
45:00.0,140
45:00.0,156
45:00.0,124
45:00.0,171
45:00.0,140
45:00.0,74765
45:00.0,74390
45:00.0,156
45:00.0,124
45:00.0,140
45:00.0,109
45:00.0,140
45:00.0,109
45:00.0,124
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,124
45:00.0,0
45:00.0,124
45:00.0,125
45:00.0,0
45:00.0,140
45:00.0,124
45:00.0,109
45:00.0,140
45:00.0,125
45:00.0,125
45:00.0,0
45:00.0,171
45:00.0,125
45:00.0,125
45:00.0,109
45:00.0,125
45:00.0,109
45:00.0,124
45:00.0,124
45:00.0,328
45:00.0,234
45:00.0,124
45:00.0,73937
45:00.0,73577
45:00.0,72796
45:00.0,72187
45:00.0,71859
45:00.0,71530
45:00.0,70906
45:00.0,70421
45:00.0,70030
45:00.0,69562
45:00.0,69374
45:00.0,69202
45:00.0,67093
45:00.0,0
45:00.0,125
45:00.0,66280
45:00.0,203
45:00.0,125
45:00.0,124
45:00.0,109
45:00.0,65109
45:00.0,124
45:00.0,171
45:00.0,156
45:00.0,234
45:00.0,125
45:00.0,203
45:00.0,125
45:00.0,125
45:00.0,125
45:00.0,171
45:00.0,125
45:00.0,109
45:00.0,140
45:00.0,156
45:00.0,125
45:00.0,125
45:00.0,218
45:00.0,125
45:00.0,140
45:00.0,156
45:00.0,140
45:00.0,156
45:00.0,125
45:00.0,125
45:00.0,140
45:00.0,109
45:00.0,109
45:00.0,140
45:00.0,140
45:00.0,140
45:00.0,156
45:00.0,109
45:00.0,140
45:00.0,124
45:00.0,125
45:00.0,65093
45:00.0,64249
45:00.0,63593
45:00.0,63546
45:00.0,63312
45:00.0,62827
45:00.0,60921
45:00.0,60265
45:00.0,59484
45:00.0,58656
45:00.0,58624
45:00.0,56734
45:00.0,56437
45:00.0,56124
45:00.0,52187
45:00.0,50999
45:00.0,50030
45:00.0,43266
45:00.0,42031
45:00.0,38329
45:00.0,10797
45:00.0,140
45:00.0,125
45:00.0,109
45:00.0,140
45:00.0,125
45:00.0,109
45:00.0,109
45:00.0,203
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,109
45:00.0,124
